               30000220          FILTER
              100000100           DONUT
               10005000           LATTE
0005000       123123123           LATTE
0000220       321321321          FILTER
0003500        12341234         WORKOUT
0005000        33333333           LATTE
0004500       333332222           LATTE
0000198          123123           LATTE
0000188          333111           LATTE
0000188           22222           LATTE
0000188         1111111           LATTE
0002992             332         WORKOUT
0000150            1234           DONUT
0000198             431           LATTE
0000180            4321          FILTER
0000150            1111           DONUT
0000135            2222           DONUT
0000150               2           DONUT
